                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                 1.4299,                0.91767,                0.90601,                0.84257,                0.65067,                0.74124,                0.53484,                 1.4398,                0.88519,                0.92431,             0.00021544,             0.00021544,             0.00021544
                    131,                 1.4162,                0.91106,                 0.9056,                 0.8251,                0.67004,                0.74609,                0.53782,                 1.4103,                0.88066,                 0.9198,             0.00021253,             0.00021253,             0.00021253
                    132,                 1.4299,                0.90764,                0.90581,                0.81171,                0.68234,                 0.7417,                 0.5379,                 1.4229,                0.87318,                0.92486,             0.00020962,             0.00020962,             0.00020962
                    133,                 1.3948,                0.89321,                 0.9079,                0.80457,                0.67173,                0.74201,                0.53862,                 1.4129,                0.87102,                0.92044,             0.00020671,             0.00020671,             0.00020671
                    134,                 1.4191,                0.90314,                0.90659,                0.81276,                0.66861,                0.73572,                0.53096,                 1.4309,                0.87139,                0.92284,              0.0002038,              0.0002038,              0.0002038
                    135,                 1.4197,                0.90242,                0.90505,                 0.8281,                0.66967,                0.73792,                0.53555,                 1.4105,                0.86141,                0.91581,             0.00020089,             0.00020089,             0.00020089
                    136,                 1.4176,                0.90907,                0.90557,                0.83935,                0.67922,                0.75005,                0.54313,                 1.4118,                0.86509,                0.91754,             0.00019798,             0.00019798,             0.00019798
                    137,                 1.4216,                 0.9109,                0.90256,                 0.8246,                0.68134,                0.74637,                0.53878,                 1.4099,                 0.8645,                0.91922,             0.00019507,             0.00019507,             0.00019507
                    138,                  1.415,                0.89934,                 0.9055,                0.83305,                0.67798,                0.74791,                0.54159,                 1.4064,                0.86643,                0.91918,             0.00019216,             0.00019216,             0.00019216
                    139,                 1.4112,                0.89076,                0.90117,                0.84639,                0.67983,                0.75237,                0.55064,                 1.4083,                0.86482,                 0.9196,             0.00018925,             0.00018925,             0.00018925
                    140,                 1.4001,                0.89061,                0.90353,                0.85355,                0.67228,                0.74715,                0.53083,                  1.432,                0.86897,                0.92382,             0.00018634,             0.00018634,             0.00018634
                    141,                 1.4186,                0.89571,                0.90772,                0.85603,                0.66382,                 0.7456,                0.54092,                 1.4144,                0.85659,                0.91872,             0.00018343,             0.00018343,             0.00018343
                    142,                 1.4174,                0.89482,                0.90991,                0.85683,                0.66616,                0.74945,                0.54273,                 1.4103,                0.86088,                 0.9184,             0.00018052,             0.00018052,             0.00018052
                    143,                 1.3965,                0.89765,                0.90444,                0.83925,                0.67241,                0.74733,                0.53708,                 1.4073,                0.86438,                0.91873,             0.00017761,             0.00017761,             0.00017761
                    144,                 1.3922,                0.88136,                 0.9053,                0.85832,                0.66132,                0.75093,                0.54184,                 1.3985,                0.85539,                0.91518,             0.00017469,             0.00017469,             0.00017469
                    145,                 1.3941,                0.88316,                0.90443,                0.81566,                0.68628,                0.75153,                0.53965,                 1.4057,                0.85349,                0.91714,             0.00017178,             0.00017178,             0.00017178
                    146,                 1.4054,                0.88185,                0.89916,                0.84098,                0.67719,                0.75081,                0.54724,                 1.3994,                0.84405,                0.91661,             0.00016887,             0.00016887,             0.00016887
                    147,                 1.3885,                0.88123,                0.90144,                0.84188,                0.67631,                0.75098,                0.53986,                 1.4163,                0.86042,                0.91954,             0.00016596,             0.00016596,             0.00016596
                    148,                 1.3948,                0.86955,                0.90516,                0.83281,                0.67676,                0.75145,                0.54104,                 1.4284,                0.85752,                0.92218,             0.00016305,             0.00016305,             0.00016305
                    149,                  1.384,                0.87688,                0.89946,                0.82756,                0.68878,                0.75602,                 0.5542,                 1.3951,                0.84636,                0.91599,             0.00016014,             0.00016014,             0.00016014
                    150,                 1.4141,                0.89738,                0.89955,                0.82993,                 0.6924,                0.75784,                0.55254,                 1.3896,                0.84549,                 0.9159,             0.00015723,             0.00015723,             0.00015723
